minute_index,hour,minute,duration_ms,n_observations
1002,16,42,3234,2
1003,16,43,3200,2
1004,16,44,3284,2
1005,16,45,3233,2
1006,16,46,3284,2
1007,16,47,3266,2
1008,16,48,3284,2
1009,16,49,3300,2
1010,16,50,3333,2
1011,16,51,3334,2
1012,16,52,3350,2
1013,16,53,3366,2
1014,16,54,3367,2
1015,16,55,3400,2
1016,16,56,3400,2
1017,16,57,3434,2
1018,16,58,3416,2
1019,16,59,3450,2
1020,17,0,3484,2
1021,17,1,3484,2
1022,17,2,3516,2
1023,17,3,3516,2
1024,17,4,3600,2
1025,17,5,3550,2
1026,17,6,3550,2
1027,17,7,3633,2
1028,17,8,3600,2
1029,17,9,3617,2
1030,17,10,4834,1
1031,17,11,7433,1
1032,17,12,2433,1
1033,17,13,1200,1
1034,17,14,766,1
1035,17,15,5034,1
1036,17,16,5066,1
1037,17,17,5134,1
1038,17,18,5200,1
1039,17,19,,0
1040,17,20,5266,1
1041,17,21,5300,1
1042,17,22,5367,1
1043,17,23,5400,1
1044,17,24,5433,1
1045,17,25,5467,1
1046,17,26,5500,1
1047,17,27,4000,1
1048,17,28,1500,1
1049,17,29,,0
1050,17,30,5600,1
1051,17,31,5633,1
1052,17,32,5667,1
1053,17,33,,0
1054,17,34,,0
1055,17,35,,0
1056,17,36,5700,1
1057,17,37,5733,1
1058,17,38,5733,1
1059,17,39,,0
1060,17,40,5767,1
1061,17,41,5767,1
1062,17,42,5766,1
1063,17,43,5767,1
1064,17,44,5700,1
1065,17,45,5767,1
1066,17,46,,0
1067,17,47,,0
1068,17,48,2600,1
1069,17,49,,0
1070,17,50,5666,1
1071,17,51,5667,2
1072,17,52,5600,2
1073,17,53,5600,2
1074,17,54,5584,2
1075,17,55,5500,2
1076,17,56,5516,2
1077,17,57,5483,2
1078,17,58,5400,2
1079,17,59,5400,1
1080,18,0,5300,2
1081,18,1,5350,2
1082,18,2,5300,2
1083,18,3,5217,2
1084,18,4,5216,2
1085,18,5,5200,2
1086,18,6,5117,2
1087,18,7,5050,2
1088,18,8,6100,2
1089,18,9,3934,2
1090,18,10,4934,2
1091,18,11,4933,2
1092,18,12,4834,2
1093,18,13,4800,2
1094,18,14,4767,2
1095,18,15,4733,2
1096,18,16,4684,2
1097,18,17,4666,2
1098,18,18,4550,2
1099,18,19,4600,2
1100,18,20,4500,2
1101,18,21,4483,2
1102,18,22,4317,2
1103,18,23,4416,2
1104,18,24,4434,2
1105,18,25,4484,2
1106,18,26,4516,2
1107,18,27,4516,2
1108,18,28,4567,2
1109,18,29,4633,1
1110,18,30,4617,2
1111,18,31,4666,2
1112,18,32,4700,2
1113,18,33,4733,2
1114,18,34,4750,2
1115,18,35,4783,2
1116,18,36,4800,2
1117,18,37,4834,2
1118,18,38,4850,2
1119,18,39,4884,2
1120,18,40,4916,2
1121,18,41,4916,2
1122,18,42,4934,2
1123,18,43,4966,2
1124,18,44,4950,2
1125,18,45,4984,2
1126,18,46,4966,2
1127,18,47,5000,2
1128,18,48,5000,2
1129,18,49,5034,2
1130,18,50,5116,2
1131,18,51,4950,2
1132,18,52,5050,2
1133,18,53,5000,2
1134,18,54,5000,2
1135,18,55,5034,2
1136,18,56,4966,2
1137,18,57,5016,2
1138,18,58,4950,2
1139,18,59,4966,2
1140,19,0,4916,2
1141,19,1,4966,2
1142,19,2,4917,2
1143,19,3,4866,2
1144,19,4,4916,2
1145,19,5,4817,2
1146,19,6,4834,2
1147,19,7,4816,2
1148,19,8,4767,2
1149,19,9,4733,2
1150,19,10,4716,2
1151,19,11,4650,2
1152,19,12,4700,2
1153,19,13,4600,2
1154,19,14,4634,2
1155,19,15,4550,2
1156,19,16,4500,2
1157,19,17,4484,2
1158,19,18,4516,2
1159,19,19,4384,2
1160,19,20,4384,2
1161,19,21,4383,2
1162,19,22,4300,2
1163,19,23,4300,2
1164,19,24,4267,2
1165,19,25,4183,2
1166,19,26,4167,2
1167,19,27,4150,2
1168,19,28,4100,2
1169,19,29,4100,2
1170,19,30,3983,2
1171,19,31,4034,2
1172,19,32,3966,2
1173,19,33,3934,2
1174,19,34,3866,2
1175,19,35,3883,2
1176,19,36,3834,2
1177,19,37,3783,2
1178,19,38,3717,2
1179,19,39,3716,2
1180,19,40,3750,2
1181,19,41,3634,2
1182,19,42,3600,2
1183,19,43,3600,2
1184,19,44,3567,2
1185,19,45,3550,2
1186,19,46,3484,2
1187,19,47,3450,2
1188,19,48,3434,2
1189,19,49,3434,2
1190,19,50,3366,2
1191,19,51,3334,2
1192,19,52,3350,2
1193,19,53,3284,2
1194,19,54,3234,2
1195,19,55,3250,2
1196,19,56,3216,2
1197,19,57,3184,2
1198,19,58,3117,2
1199,19,59,3150,2
1200,20,0,2900,2
1201,20,1,3084,2
1202,20,2,3000,2
1203,20,3,3084,2
1204,20,4,3016,2
1205,20,5,2900,2
1206,20,6,2984,2
1207,20,7,2916,2
1208,20,8,2900,2
1209,20,9,2900,2
1210,20,10,2833,1
1211,20,11,2834,1
1212,20,12,2833,1
1213,20,13,2816,2
1214,20,14,2717,2
1215,20,15,2783,2
1216,20,16,2717,2
1217,20,17,2700,2
1218,20,18,2700,2
1219,20,19,2683,2
1220,20,20,2617,2
1221,20,21,2683,2
1222,20,22,2517,2
1223,20,23,2616,2
1224,20,24,2583,2
1225,20,25,2534,2
1226,20,26,2500,2
1227,20,27,2517,2
1228,20,28,2433,2
1229,20,29,2516,2
1230,20,30,2434,2
1231,20,31,2400,2
1232,20,32,2416,2
1233,20,33,2417,2
1234,20,34,2334,2
1235,20,35,2383,2
1236,20,36,2300,2
1237,20,37,2366,2
1238,20,38,2334,2
1239,20,39,2300,2
1240,20,40,2316,2
1241,20,41,2234,2
1242,20,42,2316,2
1243,20,43,2250,2
1244,20,44,2266,2
1245,20,45,2233,2
1246,20,46,2200,2
1247,20,47,2250,2
1248,20,48,2184,2
1249,20,49,2200,2
1250,20,50,2183,2
1251,20,51,2134,2
1252,20,52,2184,2
1253,20,53,2133,2
1254,20,54,2150,2
1255,20,55,2166,2
1256,20,56,2133,2
1257,20,57,2100,2
1258,20,58,2100,2
